Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Sun Jun 23 19:36:20 2019
| Host         : T3 running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_utilization -hierarchical_percentages -hierarchical -file dt.txt
| Design       : main
| Device       : xcvu9pflga2104-3
| Design State : Routed
-----------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
|                 Instance                 |               Module              |    Total LUTs   |    Logic LUTs   |    LUTRAMs   |     SRLs     |       FFs       |    RAMB36    |     RAMB18    |     URAM     | DSP48 Blocks |
+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized0 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[2].DECODER_OUT_MEM |  xpm_memory_spram__parameterized3 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized1 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[3].DECODER_OUT_MEM |  xpm_memory_spram__parameterized5 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized2 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[4].DECODER_OUT_MEM |  xpm_memory_spram__parameterized7 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized3 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[5].DECODER_OUT_MEM |  xpm_memory_spram__parameterized9 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized4 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[6].DECODER_OUT_MEM | xpm_memory_spram__parameterized11 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized5 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[7].DECODER_OUT_MEM | xpm_memory_spram__parameterized13 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized6 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[8].DECODER_OUT_MEM | xpm_memory_spram__parameterized15 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized7 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|     GEN_PMAP_MEMORIES[9].DECODER_OUT_MEM | xpm_memory_spram__parameterized17 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
|       xpm_memory_base_inst               |   xpm_memory_base__parameterized8 |    0(0,005000%) |    0(0,005000%) | 0(0,005000%) | 0(0,005000%) |    0(0,005000%) | 0(0,005000%) |  1(0,028148%) | 0(0,005000%) | 0(0,005000%) |
+------------------------------------------+-----------------------------------+-----------------+-----------------+--------------+--------------+-----------------+--------------+---------------+--------------+--------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


